GROUPING,CODE,DESCRIPTION,MOLECULE,SOURCE_COMPILE,SOURCE_DM,SOURCE_UCB,SOURCE_KOMODO,,,,,,
IVIG,J1459,"INJECTION, IMMUNE GLOBULIN (PRIVIGEN), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",PRIVIGEN,,,1,,,,,,,
IVIG,J1554,"INJECTION, IMMUNE GLOBULIN (ASCENIV), 500 MG",ASCENIV,1,1,,,,,,,,
IVIG,J1568,"INJECTION, IMMUNE GLOBULIN, (OCTAGAM), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",OCTAGAM,,,1,,,,,,,
Biologic,J9332,"INJECTION, EFGARTIGIMOD ALFA-FCAB, 2MG",VYVGART,,,1,,,,,,,
IVIG,J1555,"INJECTION, IMMUNE GLOBULIN (CUVITRU), 100 MG",CUVITRU,,,1,,,,,,,
IVIG,J1551,"INJECTION, IMMUNE GLOBULIN (CUTAQUIG), 100 MG",CUTAQUIG,1,1,,,,,,,,
IVIG,J1572,"INJECTION, IMMUNE GLOBULIN, (FLEBOGAMMA/FLEBOGAMMA DIF), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",FLEBOGAMMA,,,1,,,,,,,
IVIG,J1561,"INJECTION, IMMUNE GLOBULIN, (GAMUNEX-C/GAMMAKED), NON-LYOPHILIZED (E.G., LIQUID), 500 MG",GAMUNEX,,,1,,,,,,,
IVIG,J1599,"INJECTION, IMMUNE GLOBULIN, INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), NOT OTHERWISE SPECIFIED, 500 MG",IMMUNE GLOBULIN (HUMAN) IV,,,1,,,,,,,
Biologic,J1300,"INJECTION, ECULIZUMAB, 10 MG",SOLIRIS,,,1,,,,,,,
IVIG,Q2052,"SERVICES, SUPPLIES AND ACCESSORIES USED IN THE HOME UNDER THE MEDICARE INTRAVENOUS IMMUNE GLOBULIN (IVIG) DEMONSTRATION",IMMUNE GLOBULIN (HUMAN) IV,,,1,,,,,,,
Biologic,C9052,"INJECTION, RAVULIZUMAB-CWVZ, 10 MG",ULTOMIRIS,1,,,,,,,,,
IVIG,J1575,"INJECTION, IMMUNE GLOBULIN/HYALURONIDASE, (HYQVIA), 100 MG IMMUNEGLOBULIN",HYQVIA,,,1,,,,,,,
IVIG,J1557,"INJECTION, IMMUNE GLOBULIN, (GAMMAPLEX), INTRAVENOUS, NON-LYOPHILIZED (E.G., LIQUID), 500 MG",GAMMAPLEX,,,1,,,,,,,
IVIG,J1569,"INJECTION, IMMUNE GLOBULIN, (GAMMAGARD LIQUID), NON-LYOPHILIZED, (E.G., LIQUID), 500 MG",GAMMAGARD,,,1,,,,,,,
IVIG,J1566,"INJECTION, IMMUNE GLOBULIN, INTRAVENOUS, LYOPHILIZED (E.G., POWDER), NOT OTHERWISE SPECIFIED, 500 MG",IMMUNE GLOBULIN (HUMAN) IV,,,1,,,,,,,
IVIG,J1560,"INJECTION, GAMMA GLOBULIN, INTRAMUSCULAR, OVER 10 CC",Procedure,,,1,,,,,,,
IVIG,J1559,"INJECTION, IMMUNE GLOBULIN (HIZENTRA), 100 MG",HIZENTRA,,,1,,,,,,,
IVIG,90283,"IMMUNE GLOBULIN (IGIV), HUMAN, FOR INTRAVENOUS USE",Procedure,,,1,,,,,,,
IVIG,J1556,"INJECTION, IMMUNE GLOBULIN (BIVIGAM), 500 MG",BIVIGAM,,,1,,,,,,,
