,NPI,PROVIDER_ZIP,VYVGART_VOLUME_3MONTH_KOMODO,SOLIRIS_VOLUME_3MONTH_KOMODO,ULTOMIRIS_VOLUME_3MONTH_KOMODO,VYVGART_VOLUME_6MONTH_KOMODO,SOLIRIS_VOLUME_6MONTH_KOMODO,ULTOMIRIS_VOLUME_6MONTH_KOMODO,VYVGART_VOLUME_12MONTH_KOMODO,SOLIRIS_VOLUME_12MONTH_KOMODO,ULTOMIRIS_VOLUME_12MONTH_KOMODO
0,1487031860,29169,1,0,0,5,0,0,5,0,0
1,1154387140,29680,11,3,2,18,6,2,32,7,2
2,1942230966,92354,5,0,0,13,0,0,13,0,0
3,1407854045,46032,4,0,0,11,0,2,34,0,4
4,1821041955,68114,19,0,0,34,0,0,52,0,0
5,1932140134,68046,6,0,0,6,0,0,6,0,0
6,1356348387,93720,2,0,0,8,0,0,8,0,0
7,1801059464,40509,15,0,0,25,0,0,34,4,0
8,1396795530,98274,2,0,0,2,0,0,2,0,0
9,1508097395,26330,4,0,0,7,0,0,7,0,0
10,1932551934,43203,0,0,0,1,0,0,1,0,0
11,1386131357,03104,0,0,0,3,0,0,3,0,0
12,1285740456,35243,3,0,0,5,0,0,7,0,0
13,1881860963,33483,0,0,0,0,0,1,0,0,1
14,1316920259,33905,0,0,0,0,1,0,0,1,0
15,1003023201,27710,0,4,0,0,9,0,0,18,0
16,1881706018,33407,0,0,1,0,0,1,0,0,1
17,1891821401,94305,0,0,0,0,0,2,0,0,6
18,1740424076,45631,0,0,0,0,0,0,0,1,0
19,1992904379,33777,0,6,0,0,11,0,0,21,0
20,1124294756,85711,0,0,0,3,0,0,12,0,0
21,1770915605,55805,0,0,0,0,0,0,2,0,0
22,1346669389,90503,0,0,1,0,0,1,0,0,1
23,1801894100,14626,0,0,1,0,0,5,0,0,9
24,1528280815,43203,12,0,0,24,0,0,45,0,0
25,1710199724,78758,3,0,0,4,0,0,4,0,0
26,1043663867,33172,4,0,0,4,0,0,4,0,0
27,1548243678,60181,0,4,2,0,10,2,0,21,2
28,1437211414,14226,0,4,1,1,6,2,5,6,7
29,1881680114,33713,4,0,0,4,0,0,4,0,0
30,1407032097,32605,0,0,0,0,0,0,0,1,0
31,1003008533,34233,0,3,0,0,9,0,0,23,0
32,1134600083,44406,0,0,0,7,0,0,11,8,0
33,1982852166,78759,0,0,4,4,0,9,8,0,16
34,1245276500,75092,0,0,3,0,0,3,0,0,3
35,1861460289,82604,0,0,1,0,0,4,11,0,4
36,1740350586,01923,0,1,0,0,1,0,0,1,0
37,1336128859,85018,13,5,12,47,11,32,105,42,59
38,1316366735,46845,41,0,0,76,0,0,114,0,0
39,1043287865,07601,42,14,6,98,22,7,154,83,10
40,1487864773,45409,7,17,6,11,27,15,13,58,23
41,1730509068,33143,11,0,2,23,0,2,35,0,4
42,1003896762,22911,0,0,1,0,0,1,0,0,1
43,1982671830,07601,0,0,0,2,0,0,4,0,0
44,1689861528,59601,12,0,0,28,0,0,64,0,0
45,1003924580,96813,2,3,0,4,10,0,8,26,0
46,1013976596,49508,0,0,0,0,1,0,0,7,0
47,1467972836,90033,7,0,0,11,0,0,11,2,0
48,1841220829,08816,10,0,0,15,0,0,15,0,0
49,1629638879,85013,0,0,1,0,0,2,0,0,2
50,1811945231,34461,4,0,0,4,0,0,4,0,0
51,1720341340,44195,1,0,0,1,0,0,1,1,0
52,1750430419,76063,0,0,0,4,0,0,4,0,0
53,1215221478,74074,0,0,0,0,1,0,0,1,0
54,1477717320,77089,0,0,1,0,0,3,0,0,3
55,1386667343,28621,0,0,0,3,0,0,3,0,0
56,1447487996,16001,0,0,0,0,0,0,2,0,0
