GROUPING,CODE,NDC11,MOLECULE,SOURCE_COMPILE,SOURCE_DM,SOURCE_UCB,SOURCE_KOMODO,
IVIG,64208-8234-7,64208823407,GAMMAPLEX,,,1,,
IVIG,68982-810-04,68982081004,CUTAQUIG,,,1,,
IVIG,0069-1061-02,69106102,CUTAQUIG,,,1,,
IVIG,0069-1476-01,69147601,CUTAQUIG,,,1,,
IVIG,0069-1960-02,69196002,CUTAQUIG,,,1,,
IVIG,44206-452-02,44206045202,HIZENTRA,,,1,,
IVIG,44206-416-03,44206041603,CARIMUNE,,,1,,
IVIG,68982-820-84,68982082084,PANZYGA,1,1,,,
IVIG,13533-645-15,13533064515,GAMUNEX,,,1,,
IVIG,68982-810-06,68982081006,CUTAQUIG,,,1,,
IVIG,61953-0004-2,61953000402,FLEBOGAMMA DIF,,,1,,
IVIG,0069-1061-01,69106101,CUTAQUIG,,,1,,
IVIG,0069-1509-01,69150901,CUTAQUIG,,,1,,
IVIG,68982-820-82,68982082082,PANZYGA,1,,,,
IVIG,61953-0005-3,61953000503,FLEBOGAMMA DIF,,,1,,
IVIG,68982-850-01,68982085001,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,,338000177,GAMMAGARD,,,1,,
IVIG,13533-635-40,13533063540,GAMASTAN,1,,,,
IVIG,13533-645-12,13533064512,GAMUNEX,,,1,,
IVIG,44206-457-22,44206045722,HIZENTRA,,,1,,
IVIG,68982-840-04,68982084004,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,13533-810-10,13533081010,XEMBIFY,1,1,,,
IVIG,68982-822-84,68982082284,PANZYGA,1,,,,
IVIG,13533-635-13,13533063513,GAMASTAN,1,,,,
IVIG,44206-439-92,44206043992,PRIVIGEN,1,,,,
IVIG,64208-8234-6,64208823406,GAMMAPLEX,,,1,,
IVIG,68982-820-02,68982082002,PANZYGA,1,1,,,
IVIG,0944-2850-01,944285001,CUVITRU,,,1,,
IVIG,0069-1802-01,69180201,CUTAQUIG,,,1,,
IVIG,0944-2623-02,944262302,GAMMAGARD S/D,1,,,,
IVIG,61953-0003-1,61953000301,FLEBOGAMMA,,,1,,
IVIG,68209-843-04,68209084304,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,,944272203,HYQVIA,,,1,,
IVIG,13533-335-13,13533033513,GAMASTAN,1,1,,,
IVIG,69800-0250-2,69800025002,ASCENIV,1,,,,
IVIG,44206-417-06,44206041706,CARIMUNE NANOFILTERED,,,1,,
IVIG,76125-900-50,76125090050,GAMMAKED,,,1,,
IVIG,0053-7596-10,53759610,VIVAGLOBIN,1,1,,,
IVIG,69800-6503-1,69800650301,BIVIGAM,,,1,,
IVIG,68982-822-02,68982082202,PANZYGA,1,,,,
IVIG,68982-820-85,68982082085,PANZYGA,1,,,,
IVIG,,64193025050,IVEEGAM EN,,,1,,
IVIG,61953-0005-5,61953000505,FLEBOGAMMA DIF,,,1,,
IVIG,68982-810-02,68982081002,CUTAQUIG,,,1,,
IVIG,13533-635-10,13533063510,GAMASTAN,1,1,,,
IVIG,13533-810-51,13533081051,XEMBIFY,1,1,,,
IVIG,76125-900-26,76125090026,GAMMAKED,1,,,,
Biologic,25682-022-01,25682002201,ULTOMIRIS,,,1,,
IVIG,68982-850-04,68982085004,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,13533-810-20,13533081020,XEMBIFY,1,,,,
IVIG,68982-820-03,68982082003,PANZYGA,1,1,,,
IVIG,61953-0005-1,61953000501,FLEBOGAMMA DIF,,,1,,
IVIG,0069-1965-02,69196502,CUTAQUIG,,,1,,
