ZIP,Territory ID,Territory Name,Region ID,Region Name,E/W ID,E/W Name,County,City,State
501,1010501,"Long Island, NY",10105,NY + Philly,101,East Rare Region,SUFFOLK,HOLTSVILLE,NY
544,1010501,"Long Island, NY",10105,NY + Philly,101,East Rare Region,SUFFOLK,HOLTSVILLE,NY
601,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,ADJUNTAS,PR
602,1010201,"Miami, FL",10102,Florida,101,East Rare Region,AGUADILLA,AGUADA,PR
603,1010201,"Miami, FL",10102,Florida,101,East Rare Region,AGUADILLA,AGUADILLA,PR
604,1010201,"Miami, FL",10102,Florida,101,East Rare Region,AGUADILLA,AGUADILLA,PR
605,1010201,"Miami, FL",10102,Florida,101,East Rare Region,AGUADILLA,AGUADILLA,PR
606,1010201,"Miami, FL",10102,Florida,101,East Rare Region,MARICAO,MARICAO,PR
610,1010201,"Miami, FL",10102,Florida,101,East Rare Region,ANASCO,ANASCO,PR
611,1010201,"Miami, FL",10102,Florida,101,East Rare Region,UTUADO,ANGELES,PR
612,1010201,"Miami, FL",10102,Florida,101,East Rare Region,BARCELONETA,ARECIBO,PR
613,1010201,"Miami, FL",10102,Florida,101,East Rare Region,ARECIBO,ARECIBO,PR
614,1010201,"Miami, FL",10102,Florida,101,East Rare Region,ARECIBO,ARECIBO,PR
616,1010201,"Miami, FL",10102,Florida,101,East Rare Region,ARECIBO,BAJADERO,PR
617,1010201,"Miami, FL",10102,Florida,101,East Rare Region,BARCELONETA,BARCELONETA,PR
622,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CABO ROJO,BOQUERON,PR
623,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CABO ROJO,CABO ROJO,PR
624,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,PENUELAS,PR
627,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAMUY,CAMUY,PR
631,1010201,"Miami, FL",10102,Florida,101,East Rare Region,LARES,CASTANER,PR
636,1010201,"Miami, FL",10102,Florida,101,East Rare Region,,ROSARIO,PR
637,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SABANA GRANDE,SABANA GRANDE,PR
638,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CIALES,CIALES,PR
641,1010201,"Miami, FL",10102,Florida,101,East Rare Region,UTUADO,UTUADO,PR
646,1010201,"Miami, FL",10102,Florida,101,East Rare Region,VEGA ALTA,DORADO,PR
647,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SABANA GRANDE,ENSENADA,PR
650,1010201,"Miami, FL",10102,Florida,101,East Rare Region,MANATI,FLORIDA,PR
652,1010201,"Miami, FL",10102,Florida,101,East Rare Region,ARECIBO,GARROCHALES,PR
653,1010201,"Miami, FL",10102,Florida,101,East Rare Region,YAUCO,GUANICA,PR
656,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYANILLA,GUAYANILLA,PR
659,1010201,"Miami, FL",10102,Florida,101,East Rare Region,ARECIBO,HATILLO,PR
660,1010201,"Miami, FL",10102,Florida,101,East Rare Region,MAYAGUEZ,HORMIGUEROS,PR
